Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
188,Mitchel Bakker,nl NED,DF,Atalanta,it Serie A,23-326,2000.0,4.1,155.0,197.0,78.7,2166.0,409.0,98.0,109.0,89.9,47.0,58.0,81.0,5.0,15.0,33.3,0,0.1,0.1,-0.1,3.0,9.0,0.0,0.0,9.0,Matches
189,Ridle Baku,de GER,"DF,MF",Wolfsburg,de Bundesliga,26-033,1998.0,20.7,752.0,999.0,75.3,11870.0,3841.0,389.0,449.0,86.6,295.0,389.0,75.8,52.0,108.0,48.1,0,2.9,3.4,-2.9,28.0,44.0,26.0,10.0,81.0,Matches
190,Dilane Bakwa,fr FRA,"FW,MF",Strasbourg,fr Ligue 1,21-259,2002.0,23.3,548.0,814.0,67.3,9496.0,2847.0,260.0,321.0,81.0,199.0,280.0,71.1,62.0,148.0,41.9,6,5.8,4.1,0.2,45.0,45.0,34.0,9.0,87.0,Matches
191,Tommaso Baldanzi,it ITA,"MF,FW",Empoli,it Serie A,21-049,2003.0,8.3,201.0,257.0,78.2,3075.0,751.0,102.0,119.0,85.7,70.0,86.0,81.4,15.0,22.0,68.2,0,1.0,0.8,-1.0,13.0,12.0,11.0,3.0,30.0,Matches
192,Tommaso Baldanzi,it ITA,"FW,MF",Roma,it Serie A,21-049,2003.0,4.6,144.0,172.0,83.7,1923.0,402.0,92.0,103.0,89.3,45.0,54.0,83.3,3.0,7.0,42.9,0,0.7,0.6,-0.7,3.0,14.0,6.0,3.0,14.0,Matches
193,Alejandro Balde,es ESP,DF,Barcelona,es La Liga,20-206,2003.0,15.3,694.0,817.0,84.9,9879.0,2231.0,430.0,473.0,90.9,229.0,264.0,86.7,22.0,42.0,52.4,1,1.2,1.5,-0.2,13.0,26.0,20.0,7.0,41.0,Matches
194,George Baldock,gr GRE,DF,Sheffield Utd,eng Premier League,31-063,1993.0,10.8,291.0,397.0,73.3,4602.0,1810.0,169.0,191.0,88.5,100.0,124.0,80.6,18.0,52.0,34.6,1,0.8,0.6,0.2,7.0,18.0,11.0,4.0,31.0,Matches
195,Carlos Baleba,cm CMR,MF,Brighton,eng Premier League,20-129,2004.0,13.6,666.0,723.0,92.1,9944.0,2093.0,372.0,397.0,93.7,252.0,263.0,95.8,24.0,29.0,82.8,0,0.2,0.2,-0.2,7.0,36.0,2.0,0.0,46.0,Matches
196,Carlos Baleba,cm CMR,MF,Lille,fr Ligue 1,20-129,2004.0,0.7,39.0,45.0,86.7,627.0,100.0,20.0,22.0,90.9,12.0,13.0,92.3,4.0,6.0,66.7,0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,3.0,Matches
197,Leonardo Balerdi,ar ARG,DF,Marseille,fr Ligue 1,25-106,1999.0,23.2,1249.0,1453.0,86.0,23499.0,8443.0,464.0,500.0,92.8,607.0,678.0,89.5,145.0,228.0,63.6,0,0.1,0.4,-0.1,4.0,97.0,1.0,0.0,101.0,Matches
198,Iván Balliu,al ALB,DF,Rayo Vallecano,es La Liga,32-131,1992.0,28.9,1042.0,1382.0,75.4,17686.0,7624.0,515.0,586.0,87.9,412.0,523.0,78.8,93.0,189.0,49.2,1,2.6,2.3,-1.6,23.0,73.0,18.0,10.0,95.0,Matches
199,Fodé Ballo-Touré,sn SEN,"DF,MF",Fulham,eng Premier League,27-129,1997.0,0.6,50.0,70.0,71.4,881.0,200.0,21.0,27.0,77.8,23.0,30.0,76.7,5.0,6.0,83.3,0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,Matches
200,Folarin Balogun,us USA,FW,Monaco,fr Ligue 1,22-313,2001.0,17.4,244.0,339.0,72.0,3045.0,550.0,141.0,175.0,80.6,65.0,87.0,74.7,5.0,16.0,31.3,4,2.7,1.8,1.3,25.0,19.0,11.0,0.0,29.0,Matches
201,Jonathan Bamba,ci CIV,"MF,FW",Celta Vigo,es La Liga,28-046,1996.0,20.0,540.0,701.0,77.0,6896.0,2038.0,369.0,422.0,87.4,121.0,166.0,72.9,19.0,34.0,55.9,2,4.4,3.6,-2.4,35.0,33.0,33.0,10.0,72.0,Matches
202,Muhamad Bamba,ci CIV,FW,Lorient,fr Ligue 1,22-153,2001.0,10.8,,,,,,,,,,,,,,,0,,,,,,,,,Matches
