Rk,Player,Nation,Pos,Squad,Comp,Age,Born,Playing Time MP,Playing Time Starts,Playing Time Min,90s,Performance GA,Performance GA90,Performance SoTA,Performance Saves,Performance Save%,Performance W,Performance D,Performance L,Performance CS,Performance CS%,Penalty Kicks PKatt,Penalty Kicks PKA,Penalty Kicks PKsv,Penalty Kicks PKm,Penalty Kicks Save%,Matches
18,Yassine Bounou,ma MAR,GK,Sevilla,es La Liga,33-036,1991,1,1,90,1.0,2,2.0,3,1,33.3,0,0,1,0,0.0,0,0,0,0,,Matches
19,Claudio Bravo,cl CHI,GK,Betis,es La Liga,41-028,1983,7,7,630,7.0,5,0.71,20,16,75.0,3,4,0,2,28.6,0,0,0,0,,Matches
20,Fabian Bredlow,de GER,GK,Stuttgart,de Bundesliga,29-070,1995,4,4,360,4.0,3,0.75,22,19,86.4,3,1,0,1,25.0,0,0,0,0,,Matches
21,Alexander Brunst,de GER,GK,Darmstadt 98,de Bundesliga,28-309,1995,2,2,180,2.0,4,2.0,10,6,60.0,0,1,1,0,0.0,0,0,0,0,,Matches
22,Marcin Bułka,pl POL,GK,Nice,fr Ligue 1,24-220,1999,32,32,2880,32.0,25,0.78,97,70,79.4,15,9,8,17,53.1,8,5,3,0,37.5,Matches
23,Elia Caprile,it ITA,GK,Empoli,it Serie A,22-260,2001,20,20,1800,20.0,23,1.15,96,72,79.2,5,5,10,5,25.0,4,3,1,0,25.0,Matches
24,Marco Carnesecchi,it ITA,GK,Atalanta,it Serie A,23-315,2000,24,24,2160,24.0,26,1.08,97,69,76.3,13,5,6,8,33.3,6,3,2,1,40.0,Matches
25,Koen Casteels,be BEL,GK,Wolfsburg,de Bundesliga,31-321,1992,23,23,2070,23.0,34,1.48,106,74,69.8,8,6,9,4,17.4,3,2,0,1,0.0,Matches
26,Michele Cerofolini,it ITA,GK,Frosinone,it Serie A,25-128,1999,6,5,495,5.5,10,1.82,21,12,52.4,1,2,2,2,40.0,1,0,0,1,,Matches
27,Lucas Chevalier,fr FRA,GK,Lille,fr Ligue 1,22-187,2001,32,32,2880,32.0,31,0.97,119,88,76.5,15,10,7,15,46.9,5,3,2,0,40.0,Matches
28,Oliver Christensen,dk DEN,GK,Fiorentina,it Serie A,25-050,1999,4,4,360,4.0,9,2.25,19,10,63.2,1,1,2,0,0.0,2,2,0,0,0.0,Matches
29,Andrea Consigli,it ITA,GK,Sassuolo,it Serie A,37-105,1987,33,33,2970,33.0,64,1.94,155,92,62.6,6,8,19,3,9.1,9,6,1,2,14.3,Matches
30,Nikita Contini Baranovsky,it ITA,GK,Napoli,it Serie A,27-356,1996,1,0,17,0.2,0,0.0,0,0,,0,0,0,1,,0,0,0,0,,Matches
31,Benoît Costil,fr FRA,GK,Salernitana,it Serie A,36-313,1987,13,13,1170,13.0,29,2.23,66,38,60.6,2,3,8,1,7.7,3,3,0,0,0.0,Matches
32,Grégoire Coudert,fr FRA,GK,Brest,fr Ligue 1,25-038,1999,3,2,181,2.0,0,0.0,4,4,100.0,2,0,0,2,100.0,0,0,0,0,,Matches
33,Thibaut Courtois,be BEL,GK,Real Madrid,es La Liga,32-000,1992,1,1,90,1.0,0,0.0,2,2,100.0,1,0,0,1,100.0,0,0,0,0,,Matches
34,Alessio Cragno,it ITA,GK,Sassuolo,it Serie A,29-318,1994,2,2,180,2.0,6,3.0,8,3,37.5,1,0,1,0,0.0,1,1,0,0,0.0,Matches
35,Cristian,es ESP,GK,Valencia,es La Liga,26-051,1998,1,0,57,0.6,1,1.58,3,2,66.7,0,0,0,0,,0,0,0,0,,Matches
36,Finn Dahmen,de GER,GK,Augsburg,de Bundesliga,26-045,1998,31,31,2790,31.0,52,1.68,158,106,71.5,10,9,12,3,9.7,10,7,2,1,22.2,Matches
37,Rémy Descamps,fr FRA,GK,Nantes,fr Ligue 1,27-321,1996,6,6,540,6.0,11,1.83,37,26,73.0,2,2,2,1,16.7,2,1,0,1,0.0,Matches
38,Arthur Desmas,fr FRA,GK,Le Havre,fr Ligue 1,30-034,1994,32,32,2880,32.0,41,1.28,146,106,72.6,7,11,14,7,21.9,3,1,1,1,50.0,Matches
39,Michele Di Gregorio,it ITA,GK,Monza,it Serie A,26-289,1997,32,32,2782,30.9,33,1.07,150,115,80.0,11,11,10,12,37.5,5,3,2,0,40.0,Matches
40,Mory Diaw,sn SEN,GK,Clermont Foot,fr Ligue 1,30-324,1993,28,28,2520,28.0,48,1.71,176,128,75.6,4,8,16,5,17.9,7,5,1,1,16.7,Matches
41,Guillaume Dietsch,fr FRA,GK,Metz,fr Ligue 1,23-024,2001,1,0,73,0.8,1,1.23,3,2,66.7,0,0,0,0,,0,0,0,0,,Matches
42,Stole Dimitrievski,mk MKD,GK,Rayo Vallecano,es La Liga,30-138,1993,34,34,3060,34.0,43,1.26,138,96,69.6,7,13,14,12,35.3,2,1,1,0,50.0,Matches
43,Yehvann Diouf,fr FRA,GK,Reims,fr Ligue 1,24-177,1999,32,32,2880,32.0,46,1.44,129,83,69.0,11,8,13,7,21.9,7,6,1,0,14.3,Matches
44,Marko Dmitrović,rs SRB,GK,Sevilla,es La Liga,32-108,1992,13,13,1170,13.0,25,1.92,68,44,66.2,2,2,9,2,15.4,2,2,0,0,0.0,Matches
45,Jaume Doménech,es ESP,GK,Valencia,es La Liga,33-188,1990,2,1,79,0.9,3,3.42,12,9,75.0,0,0,1,0,0.0,0,0,0,0,,Matches
46,Gianluigi Donnarumma,it ITA,GK,Paris S-G,fr Ligue 1,25-076,1999,25,25,2169,24.1,20,0.83,110,89,84.5,18,6,1,10,40.0,4,3,1,0,25.0,Matches
47,Martin Dúbravka,sk SVK,GK,Newcastle Utd,eng Premier League,35-117,1989,21,20,1805,20.1,38,1.89,118,79,71.2,9,3,8,5,25.0,5,4,1,0,20.0,Matches
48,Ederson,br BRA,GK,Manchester City,eng Premier League,30-268,1993,31,31,2627,29.2,27,0.93,79,53,69.6,22,6,3,9,29.0,3,3,0,0,0.0,Matches
49,Aarón Escandell,es ESP,GK,Las Palmas,es La Liga,28-227,1995,2,1,153,1.7,3,1.76,4,1,25.0,0,0,1,0,0.0,0,0,0,0,,Matches
